workload_id,workload_name,workload_type,location_id,submitted_at,earliest_start,baseline_start,duration_hours,power_requirement_kw,deadline,priority,priority_rank,flexibility_level,max_delay_hours,interruptible,sla_required,status,data_source
WL-011,Vision model training 11,MODEL_TRAINING,MY-JHR-DC1,2026-07-28T04:00:00+08:00,2026-07-28T05:00:00+08:00,2026-07-28T08:00:00+08:00,7,690,2026-07-28T23:00:00+08:00,MEDIUM,2,FLEXIBLE,8,YES,NO,SCHEDULED,SIMULATED_MVP_V1
WL-012,Training data preprocessing 12,DATA_PREPROCESSING,MY-JHR-DC1,2026-07-27T14:00:00+08:00,2026-07-27T16:00:00+08:00,2026-07-27T18:00:00+08:00,3,330,2026-07-28T09:00:00+08:00,MEDIUM,2,FLEXIBLE,12,YES,NO,SCHEDULED,SIMULATED_MVP_V1
WL-013,Document embedding refresh 13,EMBEDDING_GENERATION,MY-JHR-DC1,2026-08-01T04:00:00+08:00,2026-08-01T05:00:00+08:00,2026-08-01T08:00:00+08:00,3,330,2026-08-01T23:00:00+08:00,LOW,1,FLEXIBLE,12,NO,NO,SCHEDULED,SIMULATED_MVP_V1
WL-014,LLM fine tuning 14,MODEL_TRAINING,MY-JHR-DC1,2026-07-30T07:00:00+08:00,2026-07-30T09:00:00+08:00,2026-07-30T10:00:00+08:00,7,1100,2026-07-30T21:00:00+08:00,HIGH,3,LIMITED,4,NO,YES,SCHEDULED,SIMULATED_MVP_V1
WL-015,Demand forecast inference 15,BATCH_INFERENCE,MY-JHR-DC1,2026-07-28T12:00:00+08:00,2026-07-28T13:00:00+08:00,2026-07-28T15:00:00+08:00,2,440,2026-07-29T03:00:00+08:00,MEDIUM,2,FLEXIBLE,10,NO,NO,SCHEDULED,SIMULATED_MVP_V1
WL-016,Model artifact validation 16,BACKUP_VALIDATION,MY-JHR-DC1,2026-07-27T14:00:00+08:00,2026-07-27T18:00:00+08:00,2026-07-27T21:00:00+08:00,2,280,2026-07-28T09:00:00+08:00,LOW,1,FLEXIBLE,10,NO,NO,SCHEDULED,SIMULATED_MVP_V1
WL-017,Customer support inference 17,REALTIME_INFERENCE,MY-JHR-DC1,2026-08-01T06:00:00+08:00,2026-08-01T08:00:00+08:00,2026-08-01T08:00:00+08:00,1,500,2026-08-01T09:00:00+08:00,CRITICAL,4,FIXED,0,NO,YES,SCHEDULED,SIMULATED_MVP_V1
WL-018,Fraud scoring batch 18,BATCH_INFERENCE,MY-JHR-DC1,2026-07-30T05:00:00+08:00,2026-07-30T09:00:00+08:00,2026-07-30T10:00:00+08:00,3,540,2026-07-30T16:00:00+08:00,HIGH,3,LIMITED,3,NO,YES,SCHEDULED,SIMULATED_MVP_V1
WL-019,Vision model training 19,MODEL_TRAINING,MY-JHR-DC1,2026-07-28T16:00:00+08:00,2026-07-28T18:00:00+08:00,2026-07-28T20:00:00+08:00,8,1110,2026-07-29T22:00:00+08:00,MEDIUM,2,FLEXIBLE,18,YES,NO,SCHEDULED,SIMULATED_MVP_V1
WL-020,Training data preprocessing 20,DATA_PREPROCESSING,MY-JHR-DC1,2026-07-27T15:00:00+08:00,2026-07-27T16:00:00+08:00,2026-07-27T19:00:00+08:00,5,430,2026-07-28T18:00:00+08:00,MEDIUM,2,FLEXIBLE,18,YES,NO,SCHEDULED,SIMULATED_MVP_V1
WL-021,Document embedding refresh 21,EMBEDDING_GENERATION,MY-JHR-DC1,2026-08-01T09:00:00+08:00,2026-08-01T13:00:00+08:00,2026-08-01T15:00:00+08:00,2,200,2026-08-02T05:00:00+08:00,LOW,1,FLEXIBLE,12,NO,NO,SCHEDULED,SIMULATED_MVP_V1
WL-022,LLM fine tuning 22,MODEL_TRAINING,MY-JHR-DC1,2026-07-30T08:00:00+08:00,2026-07-30T09:00:00+08:00,2026-07-30T10:00:00+08:00,6,950,2026-07-30T20:00:00+08:00,HIGH,3,LIMITED,4,NO,YES,SCHEDULED,SIMULATED_MVP_V1
WL-023,Demand forecast inference 23,BATCH_INFERENCE,MY-JHR-DC1,2026-07-28T05:00:00+08:00,2026-07-28T06:00:00+08:00,2026-07-28T08:00:00+08:00,3,620,2026-07-28T19:00:00+08:00,MEDIUM,2,FLEXIBLE,8,NO,NO,SCHEDULED,SIMULATED_MVP_V1
WL-024,Model artifact validation 24,BACKUP_VALIDATION,MY-JHR-DC1,2026-07-27T14:00:00+08:00,2026-07-27T15:00:00+08:00,2026-07-27T18:00:00+08:00,3,240,2026-07-28T07:00:00+08:00,LOW,1,FLEXIBLE,10,NO,NO,SCHEDULED,SIMULATED_MVP_V1
WL-025,Customer support inference 25,REALTIME_INFERENCE,MY-JHR-DC1,2026-08-01T18:00:00+08:00,2026-08-01T20:00:00+08:00,2026-08-01T20:00:00+08:00,2,420,2026-08-01T22:00:00+08:00,CRITICAL,4,FIXED,0,NO,YES,SCHEDULED,SIMULATED_MVP_V1
WL-026,Fraud scoring batch 26,BATCH_INFERENCE,MY-JHR-DC1,2026-07-30T12:00:00+08:00,2026-07-30T13:00:00+08:00,2026-07-30T14:00:00+08:00,3,620,2026-07-30T23:00:00+08:00,HIGH,3,LIMITED,6,NO,YES,SCHEDULED,SIMULATED_MVP_V1
WL-027,Vision model training 27,MODEL_TRAINING,MY-JHR-DC1,2026-07-28T03:00:00+08:00,2026-07-28T05:00:00+08:00,2026-07-28T08:00:00+08:00,6,1030,2026-07-29T08:00:00+08:00,MEDIUM,2,FLEXIBLE,18,YES,NO,SCHEDULED,SIMULATED_MVP_V1
WL-028,Training data preprocessing 28,DATA_PREPROCESSING,MY-JHR-DC1,2026-07-27T16:00:00+08:00,2026-07-27T17:00:00+08:00,2026-07-27T18:00:00+08:00,2,320,2026-07-28T06:00:00+08:00,MEDIUM,2,FLEXIBLE,10,YES,NO,SCHEDULED,SIMULATED_MVP_V1
WL-029,Document embedding refresh 29,EMBEDDING_GENERATION,MY-JHR-DC1,2026-08-01T17:00:00+08:00,2026-08-01T18:00:00+08:00,2026-08-01T20:00:00+08:00,2,240,2026-08-02T10:00:00+08:00,LOW,1,FLEXIBLE,12,NO,NO,SCHEDULED,SIMULATED_MVP_V1
WL-030,LLM fine tuning 30,MODEL_TRAINING,MY-JHR-DC1,2026-07-30T17:00:00+08:00,2026-07-30T18:00:00+08:00,2026-07-30T19:00:00+08:00,8,990,2026-07-31T07:00:00+08:00,HIGH,3,LIMITED,4,NO,YES,SCHEDULED,SIMULATED_MVP_V1
